id,name,trigger,create_time,update_time,project,version,spider,jobid,settings_arguments,selected_node_names,year,month,day,week,day_of_week,hour,minute,second,start_date,end_date,timezone,jitter,misfire_grace_time,coalesce,max_instances
430,amazon_minibot_US,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.430,test,"{""categories"": ""Top 10 movies in the US,Top 10 TV shows in the US,Top 10 in the US"", ""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=US"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-us-minibots""]",*,*,*,*,*,0/4,1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
431,amazon_IN,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.431,test,"{""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=IN"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-in""]",*,*,*,*,*,7,1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
432,amazon_minibot_CA,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.432,test,"{""categories"": ""Top 10 movies in Canada,Top 10 TV shows in Canada,Top 10 in Canada"", ""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=CA"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-ca""]",*,*,*,*,*,0/4,1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
433,amazon_IT,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.433,test,"{""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=IT"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-it""]",*,*,*,*,*,3,1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
434,amazon_US,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.434,test,"{""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=US"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-us""]",*,*,*,*,*,"6,18",1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
435,starz_minibot_US,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.435,test,"{""categories"": ""STARZ Top 10 Movies"", ""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=US"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-us-minibots""]",*,*,*,*,*,5/4,1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
436,blutv-linear_TR,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.436,test,"{""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=TR"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-tr""]",*,*,*,*,*,0/6,1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
437,pilot-linear_PL,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.437,test,"{""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=PL"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-pl""]",*,*,*,*,*,0/6,1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
438,player-linear_PL,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.438,test,"{""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=PL"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-pl""]",*,*,*,*,*,0/6,1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
439,amazon_CA,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.439,test,"{""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=CA"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-ca""]",*,*,*,*,*,"7,19",1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
440,amazon_GB,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.440,test,"{""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=GB"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-gb""]",*,*,*,*,*,7,1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
441,amazon_ES,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.441,test,"{""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=ES"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-es""]",*,*,*,*,*,"7,19",1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
442,blutv_TR,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.442,test,"{""categories"": ""'Featured,Trending Shows'"", ""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=TR"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-tr""]",*,*,*,*,*,"8,17",1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
443,player_all_PL,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.443,test,"{""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=PL"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-pl""]",*,*,*,*,*,"6,19",1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
444,tcl-linear_US,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.444,test,"{""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=US"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-us-linear""]",*,*,1st mon,*,*,8,1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
445,amazon_FR,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.445,test,"{""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=FR"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-fr""]",*,*,*,*,*,"8,20",1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
446,amazon_MX,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.446,test,"{""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=MX"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-mx""]",*,*,*,*,*,7,1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
447,amazon_minibot_GB,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.447,test,"{""categories"": ""Top 10 movies in the UK,Top 10 TV shows in the UK,Top 10 in the UK"", ""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=GB"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-gb""]",*,*,*,*,*,0/4,1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
448,amazon_DE,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.448,test,"{""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=DE"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-de""]",*,*,*,*,*,8,1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
449,amazon_BR,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.449,test,"{""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=BR"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-br""]",*,*,*,*,*,7,1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
450,amazon_AU,cron,2019-01-01 00:00:01,2019-01-01 00:00:01,streamingscrapper,new,1.1.450,test,"{""setting"": [""API_SERVER_ADRESS=mediabiz-sentry.serv.si"", ""BOT_COUNTRY=AU"", ""CLEAN_API_STORAGE=True""]}","[""scrapyd-au""]",*,*,*,*,*,1,1,1,2019-01-01 00:00:01,2019-01-01 00:00:01,,1,,False,5
